DONE    13,16,17,18,19,20,21,23,24,25,26,27,28,30,32,34,35,36,37,46,47,48,50,51,52,53,59,64,65,66,67,68,69,70,80,81,85,86,87,88,89,90,91,92,93,95,96,97,98,99   {2=6, 3=1, 4=1, 5=1, 6=1, 9=1, 10=1, 13=1}
DONE    0,1,5,6,8,9,13,14,16,19,21,26,28,31,33,34,36,37,39,40,41,45,46,47,49,51,52,53,54,56,60,62,63,65,68,69,71,73,75,76,77,82,83,86,89,90,91,92,98,99 {2=15, 3=5, 4=4, 5=2, 6=1}
0,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,22,25,26,27,28,29,30,31,32,33,34,35,36,38,39,40,50,51,52,54,55,69,70,71,72,75,80,82,83,84,85,94,98,99	{2=4, 3=2, 4=1, 5=1, 6=1, 9=1, 10=1, 14=1}
1,4,6,7,8,9,10,11,12,21,23,28,29,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,49,50,51,61,63,64,68,70,71,72,78,79,92,93,94,95,96,97,98,99	{2=6, 3=1, 4=1, 5=1, 6=1, 9=1, 10=1, 13=1}
0,1,2,11,12,23,24,25,26,30,31,32,33,34,35,36,37,38,39,40,41,42,43,47,48,53,54,55,56,57,58,60,61,62,63,64,65,66,67,68,74,75,76,89,91,92,93,96,97,99	{2=3, 3=1, 4=2, 5=1, 6=1, 9=1, 11=1, 13=1}
1,2,3,8,9,10,20,21,22,25,26,27,28,29,30,31,32,33,34,35,36,38,39,40,41,42,43,44,58,60,61,63,67,68,69,70,71,72,81,82,83,85,86,87,88,89,95,96,98,99	{2=5, 3=1, 4=1, 5=1, 6=1, 9=1, 10=1, 14=1}
0,1,2,3,4,5,6,7,8,9,10,11,12,13,16,17,18,19,20,21,22,23,28,29,31,32,33,34,51,52,56,57,58,59,60,61,62,64,65,75,76,82,83,84,85,87,88,89,90,99	{2=3, 3=1, 4=1, 5=1, 6=1, 9=1, 10=1, 17=1}	3.136
0,1,2,15,16,17,18,19,20,23,24,26,27,28,29,30,31,32,33,34,36,37,38,39,48,50,52,53,54,55,56,57,58,59,63,64,70,71,72,73,74,76,87,88,89,90,95,97,98,99	{2=6, 3=1, 4=1, 5=1, 6=1, 9=1, 11=1, 13=1}
1,2,5,7,19,20,22,23,24,25,26,27,28,29,30,31,32,38,39,41,42,43,44,45,46,56,57,58,67,68,70,74,75,76,77,79,80,81,82,83,85,90,91,93,94,95,96,97,98,99	{2=7, 3=1, 4=1, 5=1, 6=1, 9=1, 10=1, 12=1}
0,1,2,3,4,5,6,7,8,9,11,12,13,14,15,16,18,21,22,23,24,26,27,33,35,36,37,46,56,58,59,60,71,72,74,79,80,82,83,84,85,86,87,88,89,92,93,94,98,99	{2=7, 3=2, 4=1, 5=1, 6=1, 9=1, 10=1, 11=1}	
0,1,2,3,4,5,7,9,11,12,18,19,20,25,26,27,28,29,30,31,32,33,34,36,49,50,52,53,54,55,56,58,59,68,69,70,71,72,73,77,80,81,83,84,85,86,96,97,98,99	{2=7, 3=1, 4=1, 5=1, 6=1, 9=1, 10=1, 13=1}	
0,1,2,15,16,17,23,24,25,26,35,37,38,39,40,41,42,43,44,45,46,47,48,49,51,52,53,54,59,60,70,71,72,73,74,78,79,80,81,83,86,87,88,89,91,92,93,94,97,99	{2=5, 3=2, 4=1, 5=1, 6=1, 9=1, 10=1, 13=1}	
0,1,2,3,5,6,7,12,13,14,15,16,18,21,23,24,25,26,27,28,29,30,31,44,50,51,53,54,55,56,57,58,67,68,69,70,71,72,73,74,75,86,88,89,90,91,92,93,95,99	{2=6, 3=1, 4=1, 5=1, 6=1, 9=1, 11=1, 13=1}	
1,2,4,5,6,7,9,10,11,12,13,14,15,16,18,19,32,33,37,38,39,40,41,42,43,53,54,57,58,64,65,66,67,68,69,80,81,82,83,84,85,86,87,89,94,95,96,97,98,99	{2=4, 3=1, 4=1, 5=1, 6=1, 10=1, 11=1, 13=1}	
0,1,2,3,4,6,7,13,16,17,18,19,21,22,23,24,25,35,37,38,39,40,41,43,56,57,58,59,68,69,70,72,73,74,76,77,78,79,80,81,85,86,88,89,94,95,96,97,98,99	{2=7, 3=1, 4=1, 5=1, 6=1, 9=1, 10=1, 13=1}
